stock_code,current_price,weight,position_size,target_price,stop_loss,confidence,risk_level,holding_period
000036,3.94,0.1085776330076004,0.1,3.45,3.56,1.0,low,short
000056,2.76,0.1085776330076004,0.1,3.14,2.58,1.0,high,long
000066,15.91,0.1085776330076004,0.1,13.28,14.38,1.0,low,short
000417,6.28,0.1085776330076004,0.1,5.08,5.68,1.0,low,short
000520,4.99,0.1085776330076004,0.1,5.74,4.59,1.0,low,short
000513,40.06,0.0988056460369163,0.091,45.32,36.86,0.91,high,medium
000021,19.4,0.0922909880564603,0.085,16.75,17.54,0.85,low,short
000062,26.96,0.0922909880564603,0.085,31.0,24.8,0.85,low,short
000006,7.46,0.0868621064060803,0.08,6.07,6.74,0.8,low,short
000010,4.76,0.0868621064060803,0.08,4.33,4.3,0.8,low,short
